i,t,m,Males 00-03,Females 00-03,Males 04-08,Females 04-08,Males 09-13,Females 09-13,Males 14-18,Females 14-18,Males 19-30,Females 19-30,Males 31-50,Females 31-50,Males 51-99,Females 51-99,log HSize
1345-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,1,0,1,2,0,0,1,0,0,1.609437912
1346-001-01,2020-21,Dar Es Salaam,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1.386294361
1347-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.6931471806
1348-001-01,2020-21,Dar Es Salaam,2,0,0,1,0,0,0,0,2,3,1,0,0,0,2.197224577
1350-001-01,2020-21,Dar Es Salaam,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1.791759469
1350-001-04,2020-21,Dar Es Salaam,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1361-001-01,2020-21,Dar Es Salaam,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1.098612289
1364-001-01,2020-21,Dar Es Salaam,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1.098612289
1364-001-04,2020-21,Dar Es Salaam,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.6931471806
1366-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1.098612289
1368-001-01,2020-21,Dar Es Salaam,0,0,0,0,2,0,0,0,0,0,0,1,1,0,1.386294361
1380-001-02,2020-21,Dar Es Salaam,0,0,0,0,0,1,0,2,0,2,0,3,0,1,2.197224577
1383-001-01,2020-21,Dar Es Salaam,0,0,0,2,0,0,0,0,1,1,0,0,0,0,1.386294361
1384-001-01,2020-21,Dar Es Salaam,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1.098612289
1385-001-01,2020-21,Dar Es Salaam,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1.098612289
1386-001-01,2020-21,Dar Es Salaam,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.6931471806
1387-001-02,2020-21,Dar Es Salaam,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1.098612289
1399-001-01,2020-21,Dar Es Salaam,1,0,0,1,1,0,0,1,0,1,1,1,0,0,1.945910149
1399-001-04,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1401-001-01,2020-21,Dar Es Salaam,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1.945910149
1402-001-01,2020-21,Dar Es Salaam,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1.791759469
1403-001-01,2020-21,Dar Es Salaam,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1.609437912
1406-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1.098612289
1407-001-01,2020-21,Dar Es Salaam,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1.609437912
1419-001-01,2020-21,Dar Es Salaam,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1.386294361
1420-001-01,2020-21,Dar Es Salaam,0,0,1,0,0,0,1,1,1,1,0,1,1,0,1.945910149
1421-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.6931471806
1423-001-01,2020-21,Dar Es Salaam,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1.098612289
1424-001-02,2020-21,Dar Es Salaam,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1.098612289
1425-001-01,2020-21,Dar Es Salaam,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1.098612289
1426-001-01,2020-21,Dar Es Salaam,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1.098612289
1426-001-02,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1429-001-01,2020-21,Dar Es Salaam,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1.098612289
1437-001-01,2020-21,Dar Es Salaam,0,0,1,2,0,0,1,0,1,2,1,2,0,0,2.302585093
1438-001-01,2020-21,Dar Es Salaam,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1.386294361
1438-001-03,2020-21,Dar Es Salaam,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1.098612289
1439-001-01,2020-21,Dar Es Salaam,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1.098612289
1440-001-01,2020-21,Dar Es Salaam,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1.386294361
1441-001-01,2020-21,Dar Es Salaam,0,0,2,0,0,1,0,0,0,0,0,1,0,0,1.386294361
1442-001-01,2020-21,Dar Es Salaam,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1.609437912
1443-001-01,2020-21,Dar Es Salaam,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1.791759469
1457-001-01,2020-21,Dar Es Salaam,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1.386294361
1458-001-02,2020-21,Dar Es Salaam,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1.386294361
1459-001-01,2020-21,Dar Es Salaam,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1.609437912
1462-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1.386294361
1463-001-01,2020-21,Dar Es Salaam,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1.945910149
1476-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
