i,t,m,Males 00-03,Females 00-03,Males 04-08,Females 04-08,Males 09-13,Females 09-13,Males 14-18,Females 14-18,Males 19-30,Females 19-30,Males 31-50,Females 31-50,Males 51-99,Females 51-99,log HSize
8607-001-03,2020-21,Mainland Other Urban,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1.386294361
8619-001-01,2020-21,Mainland Rural,1,0,0,3,2,0,1,1,1,0,0,1,1,0,2.397895273
8619-001-03,2020-21,Mainland Rural,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1.098612289
8619-001-04,2020-21,Mainland Rural,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
8619-001-05,2020-21,Mainland Rural,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1.098612289
8620-001-01,2020-21,Mainland Rural,2,0,0,2,1,1,0,0,0,0,1,1,0,0,2.079441542
8621-001-01,2020-21,Mainland Rural,1,1,1,2,0,1,0,0,0,1,1,0,0,0,2.079441542
8622-001-01,2020-21,Mainland Rural,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1.945910149
8622-001-03,2020-21,Mainland Rural,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1.386294361
8623-001-01,2020-21,Mainland Rural,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1.791759469
8624-001-01,2020-21,Mainland Rural,1,0,1,1,0,3,0,1,0,1,1,0,1,1,2.397895273
8624-001-03,2020-21,Mainland Rural,0,1,2,0,1,0,0,0,0,0,1,1,0,0,1.791759469
8624-001-08,2020-21,Mainland Rural,0,0,1,0,2,1,0,2,0,0,0,1,0,0,1.945910149
8625-001-01,2020-21,Mainland Rural,1,1,0,1,1,1,0,0,0,1,1,0,0,1,2.079441542
8625-001-02,2020-21,Mainland Rural,1,0,0,2,0,0,0,0,0,1,1,0,0,0,1.609437912
8626-001-01,2020-21,Mainland Rural,1,0,2,0,2,0,1,0,2,1,1,1,0,0,2.397895273
8638-001-02,2020-21,Mainland Other Urban,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1.791759469
8639-001-01,2020-21,Mainland Other Urban,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8639-001-02,2020-21,Mainland Other Urban,0,0,0,2,0,1,0,1,0,0,0,0,0,1,1.609437912
8640-001-01,2020-21,Mainland Other Urban,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1.098612289
8641-001-01,2020-21,Mainland Other Urban,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1.791759469
8641-001-05,2020-21,Mainland Other Urban,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1.098612289
8641-001-06,2020-21,Mainland Other Urban,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8642-001-01,2020-21,Mainland Other Urban,1,0,0,1,3,0,2,0,0,0,1,1,0,0,2.197224577
8643-001-01,2020-21,Mainland Other Urban,0,0,1,1,1,1,0,0,0,1,1,0,0,0,1.791759469
8645-001-01,2020-21,Mainland Other Urban,0,1,0,2,1,0,1,2,1,2,0,2,1,0,2.564949357
8657-001-01,2020-21,Mainland Rural,0,0,2,0,1,0,0,0,0,1,1,0,0,0,1.609437912
8658-001-01,2020-21,Mainland Rural,0,1,1,2,1,1,2,0,2,0,1,2,0,0,2.564949357
8659-001-01,2020-21,Mainland Rural,0,0,1,1,1,0,2,1,2,0,0,0,0,1,2.197224577
8660-001-01,2020-21,Mainland Rural,0,1,1,0,2,0,0,0,0,2,0,1,0,0,1.945910149
8661-001-01,2020-21,Mainland Rural,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1.386294361
8662-001-01,2020-21,Mainland Rural,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1.609437912
8663-001-01,2020-21,Mainland Rural,0,0,0,2,1,0,0,0,0,0,1,0,0,1,1.609437912
8676-001-01,2020-21,Mainland Rural,1,0,0,1,0,1,1,0,1,1,0,1,1,0,2.079441542
8676-001-04,2020-21,Mainland Rural,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1.098612289
8677-001-01,2020-21,Mainland Rural,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1.386294361
8678-001-01,2020-21,Mainland Rural,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1.609437912
8679-001-01,2020-21,Mainland Rural,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8680-001-01,2020-21,Mainland Rural,0,1,1,0,0,1,0,2,0,0,1,1,0,0,1.945910149
8681-001-01,2020-21,Mainland Rural,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1.386294361
8682-001-01,2020-21,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1.098612289
8683-001-01,2020-21,Mainland Rural,0,0,0,1,1,0,2,0,1,0,0,1,1,0,1.945910149
8683-001-03,2020-21,Mainland Rural,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1.386294361
8695-001-01,2020-21,Mainland Rural,1,3,4,1,1,0,0,0,1,3,0,0,1,1,2.772588722
8695-001-03,2020-21,Mainland Rural,0,1,1,0,1,2,1,0,0,0,1,1,0,0,2.079441542
8695-001-08,2020-21,Mainland Rural,0,0,1,1,3,0,1,1,1,0,1,1,0,0,2.302585093
8695-001-18,2020-21,Mainland Rural,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1.386294361
8696-001-01,2020-21,Mainland Rural,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1.609437912
8697-001-01,2020-21,Mainland Rural,0,0,0,1,0,2,1,1,0,2,0,0,1,1,2.197224577
8698-001-01,2020-21,Mainland Rural,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1.098612289
8699-001-01,2020-21,Mainland Rural,1,1,1,0,2,0,0,2,3,0,1,1,0,0,2.48490665
8699-001-03,2020-21,Mainland Rural,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1.609437912
8699-001-07,2020-21,Mainland Rural,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1.609437912
8699-001-08,2020-21,Mainland Rural,3,3,5,1,2,2,0,1,3,2,1,2,1,1,3.295836866
8700-001-01,2020-21,Mainland Rural,0,1,0,2,0,0,0,0,0,0,0,1,1,0,1.609437912
8701-001-01,2020-21,Mainland Rural,0,1,3,0,0,2,0,0,0,1,1,0,0,0,2.079441542
8702-001-01,2020-21,Mainland Rural,1,1,1,1,1,1,1,1,0,1,1,0,0,0,2.302585093
8714-001-01,2020-21,Mainland Rural,3,1,3,0,0,1,1,2,0,1,0,1,1,0,2.63905733
8715-001-01,2020-21,Mainland Rural,0,0,0,0,1,1,1,1,2,0,0,2,1,1,2.302585093
8717-001-01,2020-21,Mainland Rural,1,0,2,0,0,2,0,0,0,1,1,0,0,0,1.945910149
8718-001-01,2020-21,Mainland Rural,0,0,0,0,1,2,1,0,0,0,0,1,1,0,1.791759469
8722-001-01,2020-21,Mainland Rural,2,1,0,2,0,1,0,2,1,0,1,1,0,0,2.397895273
8733-001-01,2020-21,Mainland Other Urban,1,0,1,0,2,0,2,1,1,0,0,0,0,2,2.302585093
8733-001-03,2020-21,Mainland Other Urban,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806
8735-001-01,2020-21,Mainland Other Urban,2,0,1,0,0,2,0,0,0,0,1,1,0,0,1.945910149
8736-001-01,2020-21,Mainland Other Urban,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1.609437912
8737-001-01,2020-21,Mainland Other Urban,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1.386294361
8738-001-01,2020-21,Mainland Other Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.6931471806
8739-001-01,2020-21,Mainland Other Urban,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1.386294361
8753-001-01,2020-21,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8754-001-01,2020-21,Mainland Rural,1,0,1,0,1,1,0,0,0,0,1,1,0,0,1.791759469
8755-001-01,2020-21,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
8756-001-02,2020-21,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8757-001-04,2020-21,Mainland Rural,0,2,0,0,0,0,0,0,0,1,1,0,0,0,1.386294361
8758-001-01,2020-21,Mainland Rural,2,1,2,0,0,0,1,3,3,1,1,0,1,1,2.772588722
8758-001-05,2020-21,Mainland Rural,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
8758-001-08,2020-21,Mainland Rural,1,1,1,0,0,1,1,1,1,2,1,1,0,0,2.397895273
8758-001-10,2020-21,Mainland Rural,4,0,1,1,0,0,0,0,0,1,1,1,1,1,2.397895273
8758-001-13,2020-21,Mainland Rural,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1.098612289
8759-001-01,2020-21,Mainland Rural,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1.098612289
8762-001-01,2020-21,Mainland Rural,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1.609437912
8762-001-02,2020-21,Mainland Rural,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8762-001-04,2020-21,Mainland Rural,1,0,0,1,1,0,0,1,1,1,1,1,0,0,2.079441542
8771-001-01,2020-21,Mainland Rural,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1.609437912
8771-001-02,2020-21,Mainland Rural,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
8772-001-01,2020-21,Mainland Rural,0,1,1,0,2,0,0,0,0,1,1,0,0,0,1.791759469
8773-001-01,2020-21,Mainland Rural,0,1,0,2,1,0,0,1,0,1,1,0,0,0,1.945910149
8774-001-01,2020-21,Mainland Rural,1,2,3,2,3,0,2,0,0,3,2,2,1,1,3.091042453
8777-001-01,2020-21,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
8778-001-01,2020-21,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8778-001-02,2020-21,Mainland Rural,1,0,1,1,1,1,0,0,0,1,1,0,0,1,2.079441542
8790-001-01,2020-21,Mainland Rural,0,1,0,2,2,0,0,1,0,1,1,0,0,0,2.079441542
8791-001-01,2020-21,Mainland Rural,0,1,2,0,1,0,1,0,0,0,0,1,0,0,1.791759469
8791-001-03,2020-21,Mainland Rural,0,1,2,0,1,3,1,2,2,0,0,0,1,1,2.63905733
8792-001-01,2020-21,Mainland Rural,2,0,0,1,1,1,1,1,1,0,1,1,0,0,2.302585093
8793-001-01,2020-21,Mainland Rural,1,0,0,1,2,2,3,0,0,0,1,2,0,0,2.48490665
8794-001-01,2020-21,Mainland Rural,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1.791759469
8795-001-01,2020-21,Mainland Rural,0,2,1,1,0,0,0,3,3,2,0,0,1,1,2.63905733
8796-001-01,2020-21,Mainland Rural,1,2,1,1,2,1,0,2,2,1,1,1,1,0,2.772588722
8796-001-06,2020-21,Mainland Rural,1,0,1,0,2,2,3,0,0,1,1,1,0,0,2.48490665
8797-001-02,2020-21,Mainland Rural,1,1,1,0,0,1,3,0,3,2,0,0,0,1,2.564949357
8810-001-01,2020-21,Mainland Rural,0,0,2,0,0,1,0,0,0,1,1,0,0,0,1.609437912
8812-001-01,2020-21,Mainland Rural,0,1,0,1,0,0,1,1,2,1,1,1,1,1,2.397895273
8812-001-02,2020-21,Mainland Rural,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1.609437912
8813-001-01,2020-21,Mainland Rural,1,0,0,1,0,2,1,0,0,0,1,1,0,0,1.945910149
8814-001-01,2020-21,Mainland Rural,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1.386294361
8814-001-02,2020-21,Mainland Rural,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1.609437912
8814-001-03,2020-21,Mainland Rural,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806
8815-001-01,2020-21,Mainland Rural,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.6931471806
8816-001-01,2020-21,Mainland Rural,1,1,0,1,1,1,1,1,0,1,1,1,0,0,2.302585093
8818-001-01,2020-21,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.6931471806
8828-001-01,2020-21,Mainland Rural,0,0,0,0,0,0,3,2,4,1,0,2,1,0,2.564949357
8828-001-03,2020-21,Mainland Rural,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1.386294361
8828-001-07,2020-21,Mainland Rural,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1.098612289
8829-001-01,2020-21,Mainland Rural,0,0,0,1,0,1,4,0,0,0,1,1,0,0,2.079441542
8830-001-01,2020-21,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8831-001-01,2020-21,Mainland Rural,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
8832-001-01,2020-21,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8832-001-02,2020-21,Mainland Rural,1,0,0,2,0,0,0,0,0,1,1,0,0,0,1.609437912
8833-001-01,2020-21,Mainland Rural,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1.609437912
8834-001-01,2020-21,Mainland Rural,1,1,0,1,2,1,1,1,1,2,0,0,0,1,2.48490665
8835-001-01,2020-21,Mainland Rural,2,0,2,0,0,1,0,0,0,1,1,0,0,0,1.945910149
8835-001-04,2020-21,Mainland Rural,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
8847-001-01,2020-21,Mainland Rural,0,1,0,1,1,1,1,2,0,1,1,1,0,0,2.302585093
8848-001-01,2020-21,Mainland Rural,2,0,2,1,1,0,0,0,0,1,1,2,0,0,2.302585093
8849-001-02,2020-21,Mainland Rural,1,1,2,0,1,2,1,1,2,1,0,1,0,0,2.564949357
8849-001-06,2020-21,Mainland Rural,1,0,0,0,0,0,1,1,3,0,0,1,0,1,2.079441542
8850-001-02,2020-21,Mainland Rural,0,1,0,2,1,0,0,0,0,0,0,1,0,0,1.609437912
8851-001-01,2020-21,Mainland Rural,1,1,1,1,1,0,2,2,0,0,1,1,0,0,2.397895273
8853-001-02,2020-21,Mainland Rural,0,2,4,1,0,1,2,1,3,2,1,1,0,1,2.944438979
8854-001-03,2020-21,Mainland Rural,1,0,0,0,1,0,1,2,1,0,0,1,1,0,2.079441542
8854-001-10,2020-21,Mainland Rural,1,0,2,2,1,0,3,1,0,0,0,1,0,0,2.397895273
8854-001-13,2020-21,Mainland Rural,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1.098612289
8854-001-14,2020-21,Mainland Rural,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806
8857-001-01,2020-21,Mainland Rural,0,1,2,1,0,0,0,1,0,0,1,1,0,0,1.945910149
8866-001-01,2020-21,Mainland Rural,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1.386294361
8867-001-02,2020-21,Mainland Rural,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1.098612289
8868-001-01,2020-21,Mainland Rural,1,0,1,0,0,2,0,0,0,0,1,1,0,0,1.791759469
8869-001-01,2020-21,Mainland Rural,0,1,1,1,1,2,1,0,0,0,1,1,0,0,2.197224577
8870-001-01,2020-21,Mainland Rural,0,2,1,1,0,0,2,0,0,0,1,1,0,0,2.079441542
8871-001-01,2020-21,Mainland Rural,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1.386294361
8871-001-03,2020-21,Mainland Rural,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.6931471806
8872-001-01,2020-21,Mainland Rural,0,0,1,0,0,2,1,1,1,0,1,1,0,0,2.079441542
8872-001-03,2020-21,Mainland Rural,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
8872-001-04,2020-21,Mainland Rural,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1.098612289
8873-001-01,2020-21,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
8885-001-01,2020-21,Mainland Rural,0,0,1,0,1,0,1,0,0,2,0,0,1,1,1.945910149
8886-001-01,2020-21,Mainland Rural,0,0,0,1,1,1,3,0,0,1,0,1,0,0,2.079441542
8887-001-01,2020-21,Mainland Rural,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1.609437912
8888-001-01,2020-21,Mainland Rural,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.6931471806
8889-001-01,2020-21,Mainland Rural,1,1,0,0,0,2,0,1,0,3,0,1,1,0,2.302585093
8891-001-01,2020-21,Mainland Rural,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1.609437912
8891-001-04,2020-21,Mainland Rural,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1.609437912
8892-001-03,2020-21,Mainland Rural,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1.386294361
8904-001-01,2020-21,Mainland Rural,1,0,0,0,1,1,1,0,0,0,1,1,0,0,1.791759469
8905-001-01,2020-21,Mainland Rural,0,1,2,1,0,0,1,0,0,0,1,1,0,0,1.945910149
8905-001-03,2020-21,Mainland Rural,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8906-001-01,2020-21,Mainland Rural,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1.098612289
8907-001-01,2020-21,Mainland Rural,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1.609437912
8908-001-01,2020-21,Mainland Rural,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8909-001-02,2020-21,Mainland Rural,0,0,0,0,0,1,0,1,2,0,0,0,0,1,1.609437912
8910-001-01,2020-21,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8910-001-02,2020-21,Mainland Rural,0,1,0,0,0,1,1,1,0,0,0,0,0,2,1.791759469
8911-001-01,2020-21,Mainland Rural,0,0,1,1,1,0,1,2,0,0,0,1,1,0,2.079441542
8923-001-01,2020-21,Mainland Other Urban,0,1,0,1,0,1,0,0,1,0,0,1,1,1,1.945910149
8923-001-02,2020-21,Mainland Other Urban,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1.098612289
8924-001-01,2020-21,Mainland Other Urban,0,0,0,0,3,0,1,1,1,1,0,1,1,0,2.197224577
8925-001-01,2020-21,Mainland Other Urban,0,0,0,0,0,1,0,0,1,0,0,0,0,2,1.386294361
8925-001-03,2020-21,Mainland Other Urban,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8926-001-01,2020-21,Mainland Other Urban,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1.386294361
8928-001-01,2020-21,Mainland Other Urban,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
8928-001-03,2020-21,Mainland Other Urban,0,1,0,1,2,0,0,0,0,0,1,1,0,0,1.791759469
8929-001-01,2020-21,Mainland Other Urban,0,0,0,0,1,0,1,0,1,0,1,1,0,2,1.945910149
8929-001-03,2020-21,Mainland Other Urban,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1.386294361
8930-001-01,2020-21,Mainland Other Urban,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1.098612289
8942-001-01,2020-21,Mainland Rural,0,1,1,1,1,0,1,1,0,1,1,1,0,0,2.197224577
8944-001-01,2020-21,Mainland Rural,0,2,2,0,2,0,2,1,1,1,0,1,1,0,2.564949357
8945-001-01,2020-21,Mainland Rural,0,1,2,0,0,0,0,0,1,1,0,0,0,0,1.609437912
8946-001-01,2020-21,Mainland Rural,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1.098612289
8946-001-04,2020-21,Mainland Rural,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806
8947-001-01,2020-21,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8948-001-01,2020-21,Mainland Rural,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1.791759469
8949-001-01,2020-21,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8961-001-01,2020-21,Mainland Rural,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1.098612289
8962-001-02,2020-21,Mainland Rural,2,1,2,1,1,2,1,0,0,2,0,1,0,0,2.564949357
8962-001-03,2020-21,Mainland Rural,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1.386294361
8963-001-03,2020-21,Mainland Rural,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1.098612289
8964-001-01,2020-21,Mainland Rural,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1.609437912
8964-001-04,2020-21,Mainland Rural,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806
8964-001-05,2020-21,Mainland Rural,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1.609437912
8965-001-01,2020-21,Mainland Rural,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.6931471806
8966-001-01,2020-21,Mainland Rural,1,0,1,0,1,0,0,0,1,1,0,1,0,2,2.079441542
8967-001-01,2020-21,Mainland Rural,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1.386294361
8968-001-01,2020-21,Mainland Rural,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1.098612289
8968-001-02,2020-21,Mainland Rural,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.6931471806
9000-001-99,2020-21,Nan,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1.098612289
9001-001-99,2020-21,Nan,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9002-001-99,2020-21,Nan,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1.386294361
9003-001-99,2020-21,Nan,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1.386294361
9004-001-99,2020-21,Nan,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1.386294361
9005-001-99,2020-21,Nan,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.6931471806
9006-001-99,2020-21,Nan,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1.098612289
9007-001-99,2020-21,Nan,1,0,0,1,0,0,0,0,0,2,0,0,0,0,1.386294361
9012-001-99,2020-21,Nan,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
9013-001-99,2020-21,Nan,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1.098612289
9014-001-99,2020-21,Nan,1,0,0,1,0,0,1,1,0,1,1,0,0,0,1.791759469
9015-001-99,2020-21,Nan,0,0,1,0,0,0,1,1,0,2,0,1,1,1,2.079441542
9016-001-99,2020-21,Nan,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1.098612289
9018-001-99,2020-21,Nan,0,0,0,0,0,0,0,0,2,0,0,1,1,0,1.386294361
9020-001-99,2020-21,Nan,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1.609437912
9021-001-99,2020-21,Nan,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9024-001-99,2020-21,Nan,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1.098612289
9025-001-99,2020-21,Nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.6931471806
9026-001-99,2020-21,Nan,1,1,1,1,1,0,1,0,2,2,1,1,0,0,2.48490665
9027-001-99,2020-21,Nan,1,0,0,0,0,0,1,0,3,1,0,0,0,0,1.791759469
9028-001-99,2020-21,Nan,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
9029-001-99,2020-21,Nan,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1.609437912
9030-001-99,2020-21,Nan,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1.098612289
9031-001-99,2020-21,Nan,1,1,0,0,1,1,0,1,0,1,0,1,1,0,2.079441542
9036-001-99,2020-21,Nan,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.6931471806
9037-001-99,2020-21,Nan,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1.098612289
9038-001-99,2020-21,Nan,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.6931471806
9039-001-99,2020-21,Nan,0,0,1,0,1,0,0,1,1,0,1,1,0,0,1.791759469
9041-001-99,2020-21,Nan,0,0,1,0,1,0,0,2,1,0,1,1,0,0,1.945910149
9042-001-99,2020-21,Nan,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1.791759469
9043-001-99,2020-21,Nan,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1.098612289
9044-001-99,2020-21,Nan,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1.609437912
9048-001-99,2020-21,Nan,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1.098612289
9049-001-99,2020-21,Nan,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1.098612289
9050-001-99,2020-21,Nan,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1.098612289
9052-001-99,2020-21,Nan,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1.098612289
9053-001-99,2020-21,Nan,0,0,0,0,0,2,0,0,1,0,1,1,0,1,1.791759469
9054-001-99,2020-21,Nan,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1.386294361
9055-001-99,2020-21,Nan,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.6931471806
9057-001-99,2020-21,Nan,0,0,0,0,0,0,0,0,3,1,0,0,1,1,1.791759469
9060-001-99,2020-21,Nan,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
9061-001-99,2020-21,Nan,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806
9062-001-99,2020-21,Nan,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.6931471806
9063-001-99,2020-21,Nan,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1.098612289
9064-001-99,2020-21,Nan,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1.098612289
9065-001-99,2020-21,Nan,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1.098612289
9066-001-99,2020-21,Nan,0,0,0,0,0,1,2,0,0,0,0,1,0,0,1.386294361
9067-001-99,2020-21,Nan,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.6931471806
9072-001-99,2020-21,Nan,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1.386294361
9073-001-99,2020-21,Nan,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1.791759469
9074-001-99,2020-21,Nan,0,2,0,2,0,1,1,0,0,1,0,0,0,1,2.079441542
9075-001-99,2020-21,Nan,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1.609437912
9076-001-99,2020-21,Nan,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1.386294361
9077-001-99,2020-21,Nan,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1.609437912
9078-001-99,2020-21,Nan,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1.386294361
9079-001-99,2020-21,Nan,0,0,0,1,2,0,0,0,1,0,0,1,1,0,1.791759469
9084-001-99,2020-21,Nan,0,1,0,0,0,0,0,0,2,1,0,0,0,0,1.386294361
9085-001-99,2020-21,Nan,0,0,0,0,1,1,0,2,2,1,0,1,1,0,2.197224577
9086-001-99,2020-21,Nan,0,0,0,0,1,0,1,2,1,1,1,0,0,1,2.079441542
9087-001-99,2020-21,Nan,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1.609437912
9088-001-99,2020-21,Nan,0,0,0,2,0,1,0,0,0,0,0,0,1,1,1.609437912
9089-001-99,2020-21,Nan,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1.098612289
9090-001-99,2020-21,Nan,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.6931471806
9091-001-99,2020-21,Nan,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1.386294361
9096-001-99,2020-21,Nan,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806
9097-001-99,2020-21,Nan,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1.098612289
